"idDisc";"registro";"hora"
1;138.66899490356445;"2022-10-24 21:45:42"
2;138.66911697387695;"2022-10-24 21:45:43"
3;138.66911697387695;"2022-10-24 21:45:44"
4;138.6653938293457;"2022-10-24 21:45:45"
5;138.6653938293457;"2022-10-24 21:45:46"
6;138.6655158996582;"2022-10-24 21:45:47"
7;138.6655158996582;"2022-10-24 21:45:48"
8;138.66551208496094;"2022-10-24 21:45:49"
9;138.66563415527344;"2022-10-24 21:45:50"
10;138.66563415527344;"2022-10-24 21:45:51"
11;138.66563415527344;"2022-10-24 21:45:52"
12;138.66563415527344;"2022-10-24 21:45:54"
13;138.66563415527344;"2022-10-24 21:45:55"
14;138.66563415527344;"2022-10-24 21:45:56"
15;138.66575622558594;"2022-10-24 21:45:57"
16;138.66575622558594;"2022-10-24 21:45:58"
17;138.66575622558594;"2022-10-24 21:45:59"
18;138.66575622558594;"2022-10-24 21:46:00"
19;138.66575622558594;"2022-10-24 21:46:01"
20;138.66575622558594;"2022-10-24 21:46:02"
21;138.6657600402832;"2022-10-24 21:46:03"
22;138.6657600402832;"2022-10-24 21:46:04"
23;138.6658821105957;"2022-10-24 21:46:06"
24;138.66582107543945;"2022-10-24 21:46:07"
25;138.66585159301758;"2022-10-24 21:46:08"
26;138.66585159301758;"2022-10-24 21:46:09"
27;138.66606521606445;"2022-10-24 21:46:10"
28;138.66606521606445;"2022-10-24 21:46:11"
29;138.6706428527832;"2022-10-24 21:46:12"
30;138.67076110839844;"2022-10-24 21:46:13"
31;138.67118072509766;"2022-10-24 21:46:14"
32;138.6712417602539;"2022-10-24 21:46:15"
33;138.6712417602539;"2022-10-24 21:46:16"
34;138.67180633544922;"2022-10-24 21:46:18"
35;138.67180633544922;"2022-10-24 21:46:19"
36;138.67186737060547;"2022-10-24 21:46:20"
37;138.67205047607422;"2022-10-24 21:46:21"
38;138.67205047607422;"2022-10-24 21:46:22"
39;138.67296600341797;"2022-10-24 21:46:23"
40;138.6679801940918;"2022-10-24 21:46:24"
41;138.66856002807617;"2022-10-24 21:46:25"
42;138.6689453125;"2022-10-24 21:46:27"
43;138.6689453125;"2022-10-24 21:46:28"
44;138.6690673828125;"2022-10-24 21:46:29"
45;138.66823959350586;"2022-10-24 21:46:30"
46;138.66887664794922;"2022-10-24 21:46:31"
47;138.67304611206055;"2022-10-24 21:46:34"
48;138.67304611206055;"2022-10-24 21:46:35"
49;138.67257690429688;"2022-10-24 21:46:36"
50;138.67257690429688;"2022-10-24 21:46:38"
51;138.67263793945312;"2022-10-24 21:46:39"
52;138.67263793945312;"2022-10-24 21:46:40"
53;138.67263793945312;"2022-10-24 21:46:41"
54;138.67282104492188;"2022-10-24 21:46:42"
55;138.67276000976562;"2022-10-24 21:46:43"
56;138.67276000976562;"2022-10-24 21:46:44"
57;138.67276000976562;"2022-10-24 21:46:45"
58;138.67276000976562;"2022-10-24 21:46:46"
59;138.67276000976562;"2022-10-24 21:46:47"
60;138.67282104492188;"2022-10-24 21:46:48"
61;138.67282104492188;"2022-10-24 21:46:49"
62;138.67247772216797;"2022-10-24 21:46:50"
63;138.67247772216797;"2022-10-24 21:46:52"
64;138.67247772216797;"2022-10-24 21:46:53"
65;138.67247772216797;"2022-10-24 21:46:54"
66;138.67259979248047;"2022-10-24 21:46:55"
67;138.67259979248047;"2022-10-24 21:46:56"
68;138.67259979248047;"2022-10-24 21:46:57"
69;138.67259979248047;"2022-10-24 21:46:58"
70;138.67259979248047;"2022-10-24 21:46:59"
71;138.67259979248047;"2022-10-24 21:47:00"
72;138.6725959777832;"2022-10-24 21:47:02"
73;138.6725959777832;"2022-10-24 21:47:03"
74;138.67261505126953;"2022-10-24 21:47:04"
75;138.67261505126953;"2022-10-24 21:47:05"
76;138.67261505126953;"2022-10-24 21:47:06"
77;138.67261505126953;"2022-10-24 21:47:07"
78;138.67261505126953;"2022-10-24 21:47:09"
79;138.67280960083008;"2022-10-24 21:47:10"
80;138.6728744506836;"2022-10-24 21:47:11"
81;138.6730194091797;"2022-10-24 21:47:12"
82;138.67302322387695;"2022-10-24 21:47:13"
83;138.6732940673828;"2022-10-24 21:47:15"
84;138.67334365844727;"2022-10-24 21:47:16"
85;138.67359161376953;"2022-10-24 21:47:17"
86;138.67353057861328;"2022-10-24 21:47:18"
87;138.67359161376953;"2022-10-24 21:47:19"
88;138.6738052368164;"2022-10-24 21:47:20"
89;138.67380905151367;"2022-10-24 21:47:21"
90;138.67387008666992;"2022-10-24 21:47:22"
91;138.67387008666992;"2022-10-24 21:47:24"
92;138.67387771606445;"2022-10-24 21:47:25"
93;138.67387771606445;"2022-10-24 21:47:26"
94;138.67387771606445;"2022-10-24 21:47:27"
95;138.67387771606445;"2022-10-24 21:47:28"
96;138.67355346679688;"2022-10-24 21:47:29"
