"idCpu";"registro";"hora"
152;14.4;"2022-10-24 21:48:30"
153;11.7;"2022-10-24 21:48:31"
154;11.5;"2022-10-24 21:48:32"
155;20.8;"2022-10-24 21:48:33"
156;64.5;"2022-10-24 21:48:34"
157;47.3;"2022-10-24 21:48:35"
158;27.6;"2022-10-24 21:48:37"
159;32.5;"2022-10-24 21:48:38"
160;23.3;"2022-10-24 21:48:39"
161;40.3;"2022-10-24 21:48:40"
162;25.3;"2022-10-24 21:48:41"
163;32.8;"2022-10-24 21:48:42"
164;29.5;"2022-10-24 21:48:43"
165;36.7;"2022-10-24 21:48:44"
166;19.2;"2022-10-24 21:48:45"
167;49.6;"2022-10-24 21:48:47"
168;27.8;"2022-10-24 21:48:48"
169;29.3;"2022-10-24 21:48:49"
170;22.6;"2022-10-24 21:48:50"
171;12.4;"2022-10-24 21:48:51"
172;10.2;"2022-10-24 21:48:52"
173;8.5;"2022-10-24 21:48:53"
174;7.4;"2022-10-24 21:48:54"
175;3.9;"2022-10-24 21:48:55"
176;22.8;"2022-10-24 21:48:56"
177;18.7;"2022-10-24 21:48:57"
178;10.7;"2022-10-24 21:48:58"
179;7.7;"2022-10-24 21:49:00"
180;16.7;"2022-10-24 21:49:01"
181;12.4;"2022-10-24 21:49:02"
182;14.0;"2022-10-24 21:49:03"
183;8.0;"2022-10-24 21:49:04"
184;12.5;"2022-10-24 21:49:06"
185;8.8;"2022-10-24 21:49:07"
186;12.0;"2022-10-24 21:49:08"
187;6.1;"2022-10-24 21:49:09"
188;8.4;"2022-10-24 21:49:10"
189;6.2;"2022-10-24 21:49:11"
190;20.6;"2022-10-24 21:49:12"
191;15.5;"2022-10-24 21:49:13"
192;53.1;"2022-10-24 21:49:14"
193;28.7;"2022-10-24 21:49:15"
194;48.5;"2022-10-24 21:49:16"
195;19.6;"2022-10-24 21:49:17"
196;29.2;"2022-10-24 21:49:19"
197;24.7;"2022-10-24 21:49:20"
198;32.6;"2022-10-24 21:49:21"
199;29.8;"2022-10-24 21:49:22"
200;29.3;"2022-10-24 21:49:23"
201;23.4;"2022-10-24 21:49:24"
202;26.5;"2022-10-24 21:49:25"
203;32.0;"2022-10-24 21:49:26"
204;37.9;"2022-10-24 21:49:27"
205;33.5;"2022-10-24 21:49:29"
206;20.9;"2022-10-24 21:49:30"
207;71.4;"2022-10-24 21:49:31"
208;35.0;"2022-10-24 21:49:32"
209;30.8;"2022-10-24 21:49:33"
210;31.0;"2022-10-24 21:49:34"
211;24.8;"2022-10-24 21:49:35"
212;19.2;"2022-10-24 21:49:36"
213;24.1;"2022-10-24 21:49:37"
214;39.8;"2022-10-24 21:49:38"
215;35.8;"2022-10-24 21:49:39"
216;50.4;"2022-10-24 21:49:41"
217;47.0;"2022-10-24 21:49:42"
218;26.6;"2022-10-24 21:49:43"
219;76.3;"2022-10-24 21:49:44"
220;34.9;"2022-10-24 21:49:45"
221;36.0;"2022-10-24 21:49:46"
222;27.1;"2022-10-24 21:49:47"
223;21.1;"2022-10-24 21:49:48"
224;17.1;"2022-10-24 21:49:49"
225;17.0;"2022-10-24 21:49:50"
226;19.9;"2022-10-24 21:49:52"
227;8.4;"2022-10-24 21:49:53"
228;11.8;"2022-10-24 21:49:54"
229;26.4;"2022-10-24 21:49:55"
230;32.4;"2022-10-24 21:49:56"
231;50.8;"2022-10-24 21:49:57"
232;45.0;"2022-10-24 21:49:58"
233;18.6;"2022-10-24 21:49:59"
234;13.7;"2022-10-24 21:50:00"
235;12.7;"2022-10-24 21:50:01"
236;4.7;"2022-10-24 21:50:02"
237;10.7;"2022-10-24 21:50:03"
238;11.9;"2022-10-24 21:50:04"
239;19.6;"2022-10-24 21:50:05"
240;11.5;"2022-10-24 21:50:07"
241;15.4;"2022-10-24 21:50:08"
242;13.6;"2022-10-24 21:50:09"
243;10.0;"2022-10-24 21:50:10"
244;15.4;"2022-10-24 21:50:11"
245;14.0;"2022-10-24 21:50:12"
